,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unnamed: 61
0,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167597.7653599,1320670391.06145,1379888268.15642,1531843575.4189901,1665363128.4916198,1722798882.68156,1873452513.96648,1920262569.8324,1941094972.0670397,2021301675.97765,2228279329.6089396,2331005586.5921803,2421474860.3352,2623726256.9832397,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,,,,,,
1,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.111111,548888895.5555559,546666677.777778,751111191.111111,800000044.4444441,1006666637.77778,1399999966.6666698,1673333417.77778,1373333366.6666698,1408888922.22222,1748886595.5555599,1831108971.1111102,1595555475.5555599,1733333264.4444401,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.6109796,3641723321.99546,3478787909.09091,,,,,,,,,,,,,,,,,,,,2461665937.8938603,4128820723.0471296,4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20046334303.9661,20050189881.6659,19702986340.5494,19469022207.6357,
2,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6684491978.60963,6684491978.60963,6684491978.60963,6684491978.60963,10026737967.9144,10026737967.9144,12118610904.2251,5684291718.77106,5278182970.79618,4059352153.0536795,5039552482.42778,7526446605.51712,7648377412.83277,6445041824.66621,6152922942.98032,9129594818.60749,8936063723.20121,12497346669.6684,14188949190.618,19640848728.8937,28233712830.9035,41789478661.3096,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673,124912063308.202,126776874216.703,102962245246.70801,89633156470.3104,
3,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242453.00793,1965384586.2409,2173750012.5,2156624900.0,2126000000.0,2335124987.5,2101624962.5,1139166645.8333302,709452583.880319,1228071037.84446,1985673798.10258,2424499009.1426396,3314898291.75235,2359903108.38446,2707123772.16195,3414760915.27878,3632043907.9773297,4060758804.12084,4435078647.74817,5746945912.58082,7314865175.6199,8158548716.68554,8992642348.7871,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12781029643.5936,13219857459.1009,11390365293.8057,11926892452.8499,
4,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.0850963,89409820.3592814,113408231.94408502,150820102.798401,186558696.279204,220127246.376812,227281024.620741,254020153.340635,308008897.569444,411578334.159643,446416105.825017,388958731.302938,375895956.383462,327861832.94663596,330070689.29828197,346737964.774951,482000594.03587997,611316399.407088,721425939.15155,795449332.396346,1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.6268198,1180597272.72727,1211932397.81713,1239876305.13531,1401695227.5658698,1484017897.0917199,1717485413.13759,2373927765.23702,2916786689.84356,3248215396.0950103,3536632793.87781,4010990966.32904,4001201113.2268896,3650083356.4879103,3346516556.29139,3427022518.76564,3146151869.45908,3248924588.42273,,,,
5,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,25760683041.0826,28434203615.4795,31385499664.0635,36426909888.3884,43316056615.451004,55018394945.576,105145803084.364,116337021938.327,144846175400.471,167308327683.573,183555544342.167,248646206366.97302,338177454717.49896,348592795413.075,324328753765.261,303962539723.043,307940771858.505,303893618415.50604,289029150639.408,312681678329.895,307503035642.479,322325140494.687,446877161735.16705,439779177858.364,471163515480.25604,476513630630.26794,487526906280.526,523759898288.29297,578231297763.478,613279452474.103,591525594021.3989,643889670873.196,735025140336.255,723282816382.445,729051715403.984,823110541431.167,963862340520.5809,1184661549595.13,1404113530800.68,1637573196970.62,2077706582271.06,1795472295052.32,2109224213446.0,2501942770389.97,2740536188974.18,2838294388723.79,2904404570076.29,2561129553776.39,2500931669252.23,
6,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672506.5004,19213022691.0526,24871775164.6043,23775831783.4263,31225463217.7582,43598748449.0479,49333424135.1131,46622718605.2847,42803323345.1376,41807954235.903,40603650231.5445,33943612094.7971,36384908744.2114,36275674203.2144,41464995913.9199,50701443748.2975,51552165622.4462,54239171887.769005,55625170253.337006,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.81801,109816201497.61699,124346358066.71199,147824370319.94598,180617018379.85,222116541865.214,257916133424.09802,315474615738.598,253547358747.447,289880430197.25,350908390046.35803,374817974113.476,390427289210.786,403197682887.71704,357949199759.586,348743265715.395,
7,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604877.6081,18272123664.4715,25605249381.7597,28344705966.6389,28630474727.9023,24256667553.2569,26436857247.4982,31256284543.6155,31584210365.5447,33293199095.4881,34733000536.2862,52544000116.9037,72436777342.4554,52438647921.9226,51169499890.7722,56781000100.9448,58082870156.2634,69252328953.3789,76961923741.9478,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.19699,126206817196.091,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17699,164657930452.787,198737095012.28198,232557260817.308,287530508430.568,361558037110.419,332976484577.61896,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,584711485367.2671,545866164478.053,
8,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.4271398,2068526521.9029899,1272577521.7683,1201313196.45626,1315158670.4797099,1468317350.02343,1596968913.19202,1639492424.38103,1893726437.35976,1845482181.48539,1911563665.3900602,2118467913.37873,2376335048.3997602,2807061008.69084,3576615240.41616,4900469515.07252,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.987041,9260284937.797821,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10529182498.3475,10547331235.1895,
9,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,639000000.0,638000000.0,641000000.0,,
